Record_ID,Culture,Protein
484,Rarely,71.38
485,Always,31.39
486,Often,8.61
487,Often,15.82
490,Often,17.13
491,Often,30.61
492,Rarely,21.31
496,Rarely,17.58
497,Rarely,9.77
498,Always,6.61
499,Sometimes,22.64
502,Often,21.3
503,Often,16.54
504,Often,5.33
505,Often,11.32
508,Often,19.12
510,Always,5.3
512,Often,10.78
513,Always,25.59
516,Often,12
518,Often,20.64
522,Always,9.05
524,Often,35.79
526,Often,23.15
527,Always,17.14
528,Always,18.86
529,Always,45.77
530,Always,7.46
532,Always,8.73
533,Often,5.68
534,Often,16.24
535,Often,63.09
536,Sometimes,9.88
537,Sometimes,18.28
539,Often,21.01
540,Always,3.42
541,Always,23.22
542,Sometimes,16.67
543,Often,9.57
545,Sometimes,16.12
546,Often,4.66
547,Always,3.79
548,Often,5.08
549,Sometimes,13.38
550,Often,11.19
551,Sometimes,32.22
553,Always,15.5
555,Often,20.54
557,Sometimes,8.67
558,Always,25.39
559,Sometimes,10.61
560,Sometimes,8.54
561,Sometimes,39.1
563,Always,61.55
564,Often,3.11
571,Often,28.59
573,Often,25.03
574,Often,12.94
576,Rarely,45.55
577,Sometimes,29.91
579,Often,8.75
580,Always,4.6
581,Always,28.14
588,Always,16.58
589,Often,16
592,Sometimes,8.27
594,Often,8.66
595,Often,18.33
599,Sometimes,9
602,Always,12.42
604,Often,9.99
606,Often,27.35
607,Often,0
608,Rarely,3.41
609,Always,47.47
612,Sometimes,9.02
613,Sometimes,31.36
614,Often,17.01
615,Often,33.17
616,Always,9.22
617,Rarely,14.11
618,Often,9.98
621,Always,15.95
622,Sometimes,47.87
623,Always,17.54
626,Always,15.54
627,Often,9.54
629,Sometimes,234.41
631,Sometimes,18.63
632,Sometimes,10.76
634,Always,5.42
635,Often,57.51
638,Rarely,14.97
640,Always,11.17
643,Always,16.66
645,Often,32.35
646,Rarely,4.48
647,Sometimes,11.06
649,Often,30.45
650,Often,29.89
652,Sometimes,21.22
653,Rarely,13.51
655,Always,12.12
657,Sometimes,20.44
658,Rarely,7.21
659,Often,22.82
661,Often,11.29
663,Often,11.96
665,Often,20.02
667,Sometimes,17.68
668,Often,0.41
670,Always,10.21
673,Sometimes,46.86
675,Always,14.43
677,Always,17.68
678,Rarely,26.06
679,Sometimes,29.28
682,Often,5.39
687,Sometimes,12.34
688,Often,41.06
692,Often,20.09
693,Often,17.88
694,Sometimes,18.22
695,Often,35.06
696,Sometimes,2.6
698,Often,28.7
699,Always,14.58
700,Sometimes,0.02
701,Often,27.89
705,Always,15.39
706,Sometimes,13.78
708,Often,10.46
709,Sometimes,53.24
710,Sometimes,20.39
712,Sometimes,20.59
713,Often,38.68
714,Often,14.31
715,Always,26.88
717,Sometimes,6.78
718,Often,30.43
719,Sometimes,28.22
721,Always,11.73
722,Sometimes,18.62
724,Always,17.85
726,Always,6.02
728,Often,2.23
730,Always,19.49
731,Always,20.12
734,Often,17.78
735,Always,13.92
736,Often,9.26
737,Always,10.25
738,Always,7.57
739,Always,12.88
742,Often,8.95
744,Often,13.21
752,Often,9.3
754,Sometimes,15.46
755,Often,10.47
757,Sometimes,22.49
758,Always,90
759,Often,1.31
761,Often,2.36
765,Always,27.01
766,Sometimes,23.94
768,Sometimes,20.27
769,Always,20.22
770,Often,2.57
771,Often,45.86
772,Often,5.29
774,Often,14.22
776,Rarely,22.84
777,Always,10.37
778,Often,43.89
779,Always,28.76
780,Sometimes,12.57
782,Always,5.3
784,Often,20.18
785,Often,0.24
786,Always,13.47
788,Always,6.94
789,Rarely,16.51
790,Sometimes,28.92
791,Sometimes,9.25
797,Often,19.7
798,Sometimes,20.18
799,Often,16.78
804,Sometimes,17.52
810,Rarely,10.68
811,Sometimes,11.8
813,Often,9.46
814,Often,11.1
815,Often,24.83
817,Often,18.17
819,Often,13.7
820,Often,25.98
