IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,FactValueNumeric,Value,Language
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,COM,Comoros,Year,2019,TRUE,0.26,0.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2019,TRUE,0.31,0.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2019,TRUE,0.33,0.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2019,TRUE,0.36,0.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,TRUE,0.45,0.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2019,TRUE,0.46,0.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2019,TRUE,0.54,0.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,TRUE,0.63,0.6,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2019,TRUE,0.72,0.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,LBR,Liberia,Year,2019,TRUE,0.75,0.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2019,TRUE,0.78,0.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2019,TRUE,0.82,0.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,GHA,Ghana,Year,2019,TRUE,0.85,0.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2019,TRUE,1.04,1,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2019,TRUE,1.13,1.1,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,SSD,South Sudan,Year,2019,TRUE,1.15,1.1,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,MLI,Mali,Year,2019,TRUE,1.27,1.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,SYC,Seychelles,Year,2019,TRUE,1.31,1.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,BDI,Burundi,Year,2019,TRUE,1.34,1.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,TRUE,1.36,1.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2019,TRUE,1.66,1.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,TGO,Togo,Year,2019,TRUE,1.67,1.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,MRT,Mauritania,Year,2019,TRUE,1.74,1.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,DMA,Dominica,Year,2019,TRUE,1.91,1.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2019,TRUE,2.09,2.1,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2019,TRUE,2.38,2.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,MWI,Malawi,Year,2019,TRUE,2.47,2.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,TRUE,2.56,2.6,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,TRUE,2.57,2.6,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,NAM,Namibia,Year,2019,TRUE,2.79,2.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2019,TRUE,3.01,3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,GIN,Guinea,Year,2019,TRUE,3.2,3.2,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,BEN,Benin,Year,2019,TRUE,3.28,3.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,TCD,Chad,Year,2019,TRUE,3.39,3.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2019,TRUE,3.42,3.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,GRD,Grenada,Year,2019,TRUE,3.49,3.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2019,TRUE,3.51,3.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2019,TRUE,3.86,3.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2019,TRUE,4.16,4.2,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,SEN,Senegal,Year,2019,TRUE,4.44,4.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2019,TRUE,4.52,4.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,TRUE,4.59,4.6,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,COG,Congo,Year,2019,TRUE,4.69,4.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,TRUE,4.82,4.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2019,TRUE,4.86,4.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2019,TRUE,5.05,5.1,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2019,TRUE,5.4,5.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2019,TRUE,5.7,5.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,BLZ,Belize,Year,2019,TRUE,5.72,5.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,MNE,Montenegro,Year,2019,TRUE,5.72,5.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2019,TRUE,6.57,6.6,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2019,TRUE,6.63,6.6,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2019,TRUE,6.89,6.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,SMR,San Marino,Year,2019,TRUE,7.53,7.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,GAB,Gabon,Year,2019,TRUE,7.67,7.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,TRUE,9.1,9.1,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,LSO,Lesotho,Year,2019,TRUE,9.34,9.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,SUR,Suriname,Year,2019,TRUE,9.51,9.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2019,TRUE,9.85,9.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,GUY,Guyana,Year,2019,TRUE,11.29,11.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,GEO,Georgia,Year,2019,TRUE,11.64,11.6,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,UGA,Uganda,Year,2019,TRUE,12.38,12.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,TRUE,12.53,12.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,CYP,Cyprus,Year,2019,TRUE,12.62,12.6,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2019,TRUE,13.84,13.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,AND,Andorra,Year,2019,TRUE,14.62,14.6,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,BRB,Barbados,Year,2019,TRUE,15.15,15.2,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2019,TRUE,16.47,16.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,TRUE,16.68,16.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,MUS,Mauritius,Year,2019,TRUE,16.8,16.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2019,TRUE,22.87,22.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,HTI,Haiti,Year,2019,TRUE,26.28,26.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2019,TRUE,28.01,28,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2019,TRUE,30.61,30.6,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2019,TRUE,31.4,31.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,MKD,North Macedonia,Year,2019,TRUE,31.89,31.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2019,TRUE,32.89,32.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,MCO,Monaco,Year,2019,TRUE,33.79,33.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2019,TRUE,35.15,35.2,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2019,TRUE,35.85,35.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,ALB,Albania,Year,2019,TRUE,36.32,36.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2019,TRUE,40.03,40,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,MLT,Malta,Year,2019,TRUE,44.45,44.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,JAM,Jamaica,Year,2019,TRUE,44.92,44.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2019,TRUE,46.26,46.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2019,TRUE,48.17,48.2,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2019,TRUE,48.94,48.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2019,TRUE,51.35,51.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,HND,Honduras,Year,2019,TRUE,52,52,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2019,TRUE,56.96,57,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,BWA,Botswana,Year,2019,TRUE,57.42,57.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,TRUE,58.72,58.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,UKR,Ukraine,Year,2019,TRUE,58.94,58.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2019,TRUE,60.87,60.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2019,TRUE,60.98,61,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2019,TRUE,61.46,61.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2019,TRUE,62.49,62.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2019,TRUE,62.85,62.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,SEAR,South-East Asia,Country,IND,India,Year,2019,TRUE,64.5,64.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,AGO,Angola,Year,2019,TRUE,70.18,70.2,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2019,TRUE,72.68,72.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2019,TRUE,73.74,73.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2019,TRUE,74.69,74.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2019,TRUE,82.09,82.1,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,TRUE,82.32,82.3,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2019,TRUE,89.14,89.1,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2019,TRUE,89.53,89.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2019,TRUE,104.9,104.9,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,URY,Uruguay,Year,2019,TRUE,107.5,107.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2019,TRUE,109.4,109.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,SRB,Serbia,Year,2019,TRUE,110,110,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,LVA,Latvia,Year,2019,TRUE,112,112,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,ARM,Armenia,Year,2019,TRUE,113,113,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,SVN,Slovenia,Year,2019,TRUE,121.5,121.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2019,TRUE,125.7,125.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2019,TRUE,126.8,126.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2019,TRUE,132.7,132.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2019,TRUE,134.8,134.8,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,PAN,Panama,Year,2019,TRUE,135.4,135.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,BLR,Belarus,Year,2019,TRUE,137.1,137.1,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2019,TRUE,137.5,137.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,ISL,Iceland,Year,2019,TRUE,145.5,145.5,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,EST,Estonia,Year,2019,TRUE,149,149,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,EUR,Europe,Country,HRV,Croatia,Year,2019,TRUE,149.4,149.4,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2019,TRUE,161.7,161.7,EN
ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,Total expenditure on dental healthcare in million (US$),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2019,TRUE,162.4,162.4,EN
